# tracer: function
#
# entries-in-buffer/entries-written: 1218/1218   #P:4
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] .Ns. 38958.575238: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38958.575786: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.608266: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.608507: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.608538: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38958.608940: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.641536: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.641777: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.641827: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38958.642228: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.674818: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.675057: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.675089: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [000] .... 38958.675489: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.708102: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.708343: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.708375: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38958.708776: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.741386: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.741628: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.741659: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38958.742084: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38958.774669: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38958.774908: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.774940: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [002] .... 38958.775368: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38958.807965: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38958.808207: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38958.808224: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:1-16074   [002] .... 38958.808628: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
